h8,total_soportes
88b2c5082dfffff,7
88b2c50841fffff,1
88b2c50861fffff,9
88b2c50865fffff,20
88b2c50867fffff,1
88b2c50869fffff,1
88b2c5086dfffff,10
88b2c50901fffff,6
88b2c50903fffff,14
88b2c50905fffff,33
88b2c50907fffff,14
88b2c50909fffff,5
88b2c5090bfffff,28
88b2c5090dfffff,2
88b2c50915fffff,1
88b2c50921fffff,1
88b2c50929fffff,15
88b2c5092bfffff,5
88b2c50945fffff,15
88b2c50947fffff,7
88b2c5094bfffff,2
88b2c5094dfffff,11
88b2c50955fffff,9
88b2c50957fffff,2
88b2c5095dfffff,18
88b2c50961fffff,23
88b2c50963fffff,6
88b2c50969fffff,5
88b2c5096bfffff,4
88b2c50a65fffff,26
88b2c50b01fffff,33
88b2c50b03fffff,2
88b2c50b07fffff,9
88b2c50b09fffff,55
88b2c50b0bfffff,10
88b2c50b0dfffff,11
88b2c50b11fffff,6
88b2c50b17fffff,9
88b2c50b19fffff,7
88b2c50b1bfffff,2
88b2c50b1dfffff,11
88b2c50b23fffff,3
88b2c50b25fffff,2
88b2c50b27fffff,9
88b2c50b29fffff,2
88b2c50b2bfffff,1
88b2c50b2dfffff,4
88b2c50b35fffff,7
88b2c50b37fffff,10
88b2c50b3dfffff,33
88b2c50b41fffff,21
88b2c50b43fffff,30
88b2c50b45fffff,9
88b2c50b47fffff,42
88b2c50b49fffff,16
88b2c50b4bfffff,19
88b2c50b4dfffff,12
88b2c50b51fffff,6
88b2c50b53fffff,12
88b2c50b55fffff,30
88b2c50b57fffff,4
88b2c50b59fffff,11
88b2c50b5bfffff,12
88b2c50b5dfffff,31
88b2c50b61fffff,4
88b2c50b63fffff,6
88b2c50b65fffff,10
88b2c50b67fffff,22
88b2c50b6bfffff,3
88b2c50b6dfffff,12
88b2c51565fffff,3
88b2c51801fffff,30
88b2c51803fffff,32
88b2c51809fffff,16
88b2c5180bfffff,32
88b2c5180dfffff,25
88b2c51811fffff,18
88b2c51815fffff,38
88b2c51819fffff,10
88b2c5181dfffff,18
88b2c51821fffff,4
88b2c51825fffff,2
88b2c51827fffff,21
88b2c51831fffff,8
88b2c51833fffff,1
88b2c51835fffff,18
88b2c51839fffff,45
88b2c5183bfffff,7
88b2c5183dfffff,5
88b2c51843fffff,14
88b2c51845fffff,4
88b2c51847fffff,2
88b2c51849fffff,10
88b2c5184bfffff,10
88b2c5184dfffff,2
88b2c51855fffff,6
88b2c5185dfffff,5
88b2c51861fffff,1
88b2c51863fffff,13
88b2c51867fffff,1
88b2c5186dfffff,1
88b2c518a9fffff,3
88b2c518adfffff,16
88b2c518e1fffff,2
88b2c518e7fffff,18
88b2c518edfffff,2
88b2c51911fffff,2
88b2c51913fffff,12
88b2c51915fffff,24
88b2c51917fffff,27
88b2c51925fffff,6
88b2c5192dfffff,2
88b2c51931fffff,3
88b2c51933fffff,16
88b2c51935fffff,28
88b2c51937fffff,13
88b2c51939fffff,10
88b2c5193bfffff,9
88b2c5193dfffff,13
88b2c51981fffff,35
88b2c51983fffff,50
88b2c51985fffff,31
88b2c51987fffff,8
88b2c51989fffff,2
88b2c5198bfffff,8
88b2c5198dfffff,12
88b2c51995fffff,23
88b2c51997fffff,11
88b2c51999fffff,2
88b2c5199bfffff,4
88b2c5199dfffff,4
88b2c519a1fffff,9
88b2c519a3fffff,6
88b2c519a5fffff,12
88b2c519a7fffff,1
88b2c519a9fffff,24
88b2c519abfffff,15
88b2c519adfffff,48
88b2c519b1fffff,25
88b2c519b3fffff,21
88b2c519b5fffff,30
88b2c519b7fffff,8
88b2c519b9fffff,9
88b2c519bbfffff,12
88b2c519bdfffff,22
88b2c519c1fffff,15
88b2c519c3fffff,1
88b2c519c5fffff,24
88b2c519c7fffff,40
88b2c519c9fffff,14
88b2c519cbfffff,14
88b2c519cdfffff,17
88b2c519d1fffff,5
88b2c519d3fffff,16
88b2c519d5fffff,3
88b2c519d7fffff,1
88b2c519d9fffff,1
88b2c519dbfffff,5
88b2c519ddfffff,4
88b2c519e1fffff,6
88b2c519e3fffff,11
88b2c519e5fffff,71
88b2c519e7fffff,30
88b2c519e9fffff,5
88b2c519ebfffff,7
88b2c519edfffff,27
88b2c51a27fffff,7
88b2c51b31fffff,1
88b2c51b33fffff,8
88b2c51b3bfffff,6
88b2c54283fffff,1
88b2c54291fffff,1
88b2c54293fffff,4
88b2c54295fffff,7
88b2c54297fffff,3
88b2c54299fffff,2
88b2c5429dfffff,20
88b2c542bbfffff,22
88b2c542c3fffff,1
88b2c542c9fffff,1
88b2c542cbfffff,2
88b2c542d1fffff,15
88b2c542d5fffff,27
88b2c542d7fffff,14
88b2c542d9fffff,5
88b2c54609fffff,22
88b2c5460dfffff,1
88b2c54641fffff,3
88b2c54643fffff,17
88b2c54645fffff,3
88b2c54649fffff,2
88b2c5464bfffff,13
88b2c54651fffff,2
88b2c5465bfffff,1
88b2c54741fffff,4
88b2c54743fffff,4
88b2c54745fffff,2
88b2c5474bfffff,2
88b2c5474dfffff,1
88b2c5475dfffff,4
88b2c54769fffff,11
88b2c55095fffff,1
88b2c5509bfffff,3
88b2c550d3fffff,8
88b2c550d9fffff,1
88b2c550ddfffff,1
88b2c55293fffff,8
88b2c55297fffff,1
88b2c55299fffff,4
88b2c5529bfffff,8
88b2c5529dfffff,1
88b2c55401fffff,1
88b2c55403fffff,16
88b2c55407fffff,14
88b2c55409fffff,10
88b2c5540bfffff,11
88b2c5540dfffff,3
88b2c55411fffff,105
88b2c55413fffff,100
88b2c55415fffff,23
88b2c55417fffff,44
88b2c55419fffff,36
88b2c5541bfffff,161
88b2c5541dfffff,11
88b2c55421fffff,1
88b2c55423fffff,2
88b2c55425fffff,5
88b2c55427fffff,2
88b2c55429fffff,6
88b2c5542bfffff,5
88b2c5542dfffff,1
88b2c55431fffff,70
88b2c55433fffff,5
88b2c55435fffff,35
88b2c55437fffff,27
88b2c5543bfffff,105
88b2c55443fffff,9
88b2c55447fffff,17
88b2c55449fffff,1
88b2c5544bfffff,17
88b2c5544dfffff,4
88b2c55451fffff,4
88b2c55453fffff,15
88b2c55455fffff,2
88b2c55457fffff,21
88b2c5545bfffff,3
88b2c5545dfffff,1
88b2c55469fffff,1
88b2c5546bfffff,3
88b2c55487fffff,2
88b2c55489fffff,3
88b2c5548bfffff,13
88b2c5548dfffff,1
88b2c55493fffff,2
88b2c55495fffff,5
88b2c55497fffff,8
88b2c55499fffff,2
88b2c5549bfffff,8
88b2c5549dfffff,4
88b2c554a1fffff,1
88b2c554a3fffff,18
88b2c554a7fffff,3
88b2c554a9fffff,7
88b2c554abfffff,12
88b2c554b5fffff,16
88b2c554bbfffff,4
88b2c554bdfffff,4
88b2c554c1fffff,29
88b2c554c3fffff,32
88b2c554c5fffff,8
88b2c554c7fffff,2
88b2c554c9fffff,40
88b2c554cbfffff,20
88b2c554cdfffff,68
88b2c554d1fffff,3
88b2c554d3fffff,13
88b2c554d5fffff,3
88b2c554d7fffff,1
88b2c554d9fffff,7
88b2c554dbfffff,20
88b2c554ddfffff,6
88b2c554e1fffff,19
88b2c554e3fffff,4
88b2c554e5fffff,2
88b2c554e7fffff,2
88b2c554e9fffff,12
88b2c554ebfffff,4
88b2c554edfffff,18
88b2c55503fffff,5
88b2c55509fffff,6
88b2c5550bfffff,4
88b2c55511fffff,6
88b2c55513fffff,13
88b2c55519fffff,3
88b2c5551dfffff,116
88b2c55527fffff,1
88b2c55529fffff,4
88b2c5552bfffff,1
88b2c55539fffff,4
88b2c5553bfffff,7
88b2c55541fffff,2
88b2c55543fffff,2
88b2c55545fffff,8
88b2c55547fffff,2
88b2c5554dfffff,4
88b2c55551fffff,4
88b2c55557fffff,4
88b2c5555dfffff,2
88b2c55583fffff,29
88b2c55593fffff,2
88b2c55597fffff,1
88b2c5559dfffff,1
88b2c555b3fffff,1
88b2c555c1fffff,31
88b2c555c5fffff,12
88b2c555c7fffff,10
88b2c555c9fffff,29
88b2c555cbfffff,13
88b2c555cdfffff,37
88b2c555d7fffff,1
88b2c555e5fffff,9
88b2c555e9fffff,4
88b2c555edfffff,11
88b2c55601fffff,15
88b2c55603fffff,2
88b2c55607fffff,3
88b2c5560dfffff,2
88b2c55611fffff,5
88b2c55613fffff,9
88b2c55615fffff,8
88b2c5561bfffff,1
88b2c5561dfffff,2
88b2c55621fffff,6
88b2c55623fffff,2
88b2c5562bfffff,2
88b2c5562dfffff,2
88b2c55633fffff,5
88b2c55635fffff,4
88b2c5563bfffff,8
88b2c5563dfffff,2
88b2c55655fffff,3
88b2c55661fffff,4
88b2c55663fffff,4
88b2c55665fffff,24
88b2c5566dfffff,20
88b2c55681fffff,132
88b2c55683fffff,68
88b2c55685fffff,23
88b2c55687fffff,133
88b2c55689fffff,13
88b2c5568bfffff,188
88b2c5568dfffff,4
88b2c55691fffff,37
88b2c55693fffff,13
88b2c55695fffff,28
88b2c55697fffff,28
88b2c55699fffff,15
88b2c5569bfffff,29
88b2c5569dfffff,24
88b2c556a3fffff,124
88b2c556a5fffff,15
88b2c556a7fffff,81
88b2c556abfffff,77
88b2c556b1fffff,31
88b2c556b3fffff,19
88b2c556b5fffff,36
88b2c556b7fffff,30
88b2c556b9fffff,58
88b2c556bbfffff,41
88b2c556bdfffff,33
88b2c556c1fffff,6
88b2c556c3fffff,2
88b2c556c5fffff,9
88b2c556c9fffff,9
88b2c556cbfffff,24
88b2c556cdfffff,2
88b2c556d1fffff,8
88b2c556d3fffff,78
88b2c556d5fffff,5
88b2c556d7fffff,63
88b2c556d9fffff,49
88b2c556dbfffff,21
88b2c556ddfffff,20
88b2c556e5fffff,1
88b2c556e7fffff,1
88b2c55715fffff,8
88b2c55717fffff,11
88b2c55723fffff,2
88b2c55725fffff,2
88b2c5572bfffff,4
88b2c55731fffff,5
88b2c55735fffff,4
88b2c5573bfffff,7
88b2c5573dfffff,3
88b2c55745fffff,4
88b2c55747fffff,2
88b2c5574bfffff,1
88b2c55751fffff,2
88b2c55759fffff,3
88b2c5575dfffff,1
88b2c55769fffff,4
88b2c5576dfffff,1
88b2c5ccb3fffff,2
88b2c5cd81fffff,2
88b2c5cd87fffff,2
88b2c5cd8dfffff,3
88b2c5cda1fffff,1
88b2c5cda3fffff,1
88b2c5cdb3fffff,3
88b2c5cdb7fffff,14
88b2c5cde1fffff,2
88b2c5cde7fffff,2
88b2c5cdebfffff,1
